217.76.245.80:999 | HTTP | DO | Transparent
34.96.238.40:8080 | HTTP | HK | Elite
159.223.71.162:8080 | HTTP | SG | Elite
42.118.99.137:80 | HTTP | VN | Transparent
103.16.118.78:8070 | HTTP | ID | Transparent
45.186.6.104:3128 | HTTP | EC | Transparent
45.140.147.82:1082 | HTTP | NL | Elite
45.225.89.145:999 | HTTP | EC | Transparent
167.103.31.122:8800 | HTTP | IN | Transparent
202.129.185.187:8080 | HTTP | ID | Transparent
147.161.210.140:8800 | HTTP | JP | Transparent
5.104.87.17:8051 | HTTP | JP | Transparent
147.161.239.240:8800 | HTTP | DE | Transparent
124.105.21.102:8080 | HTTP | PH | Transparent
103.10.231.189:8080 | HTTP | TH | Transparent
126.209.16.60:8082 | HTTP | PH | Transparent
164.163.42.1:10000 | HTTP | AR | Transparent
103.157.117.116:8080 | HTTP | ID | Anonymous
187.102.219.34:999 | HTTP | AR | Transparent
103.171.255.170:8080 | HTTP | ID | Transparent
218.108.131.186:17890 | HTTP | CN | Elite
64.227.76.27:1080 | HTTP | NL | Elite
165.99.56.26:8080 | HTTP | ID | Anonymous
180.191.124.201:8081 | HTTP | PH | Transparent
45.167.125.21:999 | HTTP | CO | Transparent
157.20.143.210:8085 | HTTP | PH | Transparent
36.94.232.177:3113 | HTTP | ID | Transparent
109.127.82.4:8085 | HTTP | IQ | Transparent
150.107.140.238:3128 | HTTP | ID | Anonymous
103.172.254.145:84 | HTTP | IN | Transparent
202.169.51.45:8080 | HTTP | ID | Transparent
95.213.217.168:52004 | HTTP | RU | Transparent
164.163.42.14:10000 | HTTP | AR | Transparent
181.78.25.253:999 | HTTP | CO | Transparent
49.229.100.235:8080 | HTTP | TH | Transparent
103.160.69.155:8080 | HTTP | ID | Transparent
16.78.119.130:443 | HTTP | ID | Elite
164.163.42.10:10000 | HTTP | AR | Transparent
195.123.209.48:3128 | HTTP | LV | Transparent
167.103.144.127:8800 | HTTP | AU | Transparent
103.126.87.181:7777 | HTTP | ID | Anonymous
164.163.42.27:10000 | HTTP | AR | Transparent
103.122.64.213:8080 | HTTP | ID | Transparent
202.5.36.66:8085 | HTTP | BD | Transparent
200.125.171.252:999 | HTTP | DO | Transparent
41.33.219.130:1976 | HTTP | EG | Anonymous
187.188.15.249:8080 | HTTP | MX | Transparent
164.163.42.2:10000 | HTTP | AR | Transparent
43.224.171.232:8182 | HTTP | ID | Transparent
35.225.22.61:80 | HTTP | US | Elite
103.39.49.98:8080 | HTTP | ID | Transparent
119.93.170.95:8085 | HTTP | PH | Transparent
103.48.68.6:83 | HTTP | IN | Transparent
164.163.42.12:10000 | HTTP | AR | Transparent
164.163.42.30:10000 | HTTP | AR | Transparent
167.103.115.102:8800 | HTTP | SG | Transparent
103.237.134.242:7777 | HTTP | ID | Transparent
37.230.57.112:999 | HTTP | PY | Transparent
103.242.104.191:8080 | HTTP | ID | Transparent
38.156.73.56:8080 | HTTP | TR | Transparent
200.174.198.32:8888 | HTTP | BR | Anonymous
65.21.90.27:862 | HTTP | FI | Elite
164.163.42.60:10000 | HTTP | AR | Transparent
203.175.103.9:3125 | HTTP | ID | Transparent
190.97.239.40:999 | HTTP | VE | Transparent
45.70.85.93:9999 | HTTP | BR | Transparent
103.155.169.62:8299 | HTTP | ID | Transparent
103.39.51.207:8080 | HTTP | ID | Transparent
190.60.58.236:999 | HTTP | CO | Transparent
190.12.150.244:999 | HTTP | EC | Transparent
104.247.51.76:3128 | HTTP | US | Transparent
200.125.171.254:999 | HTTP | DO | Transparent
103.81.194.162:8080 | HTTP | ID | Anonymous
165.225.72.38:10330 | HTTP | DE | Transparent
167.103.34.108:8800 | HTTP | IN | Transparent
187.102.219.64:999 | HTTP | AR | Transparent
209.14.108.98:999 | HTTP | US | Transparent
177.234.217.88:999 | HTTP | EC | Transparent
