89.43.134.56:8080 | HTTP | SY | Transparent | High Speed For Internet S..
188.132.249.232:8080 | HTTP | TR | Transparent | High Speed For Internet S..
188.132.249.195:8080 | HTTP | TR | Transparent | High Speed For Internet S..
103.39.49.137:3128 | HTTP | ID | Transparent | PT. Mega Mentari Mandiri
195.123.209.48:3128 | HTTP | LV | Transparent | Green Floid LLC
104.247.51.76:3128 | HTTP | US | Transparent | Lightower Fiber Networks ..
103.39.49.204:3128 | HTTP | ID | Transparent | PT. Mega Mentari Mandiri
45.186.6.104:3128 | HTTP | EC | Transparent | Perez Tito Julio Cesar
103.191.196.154:8080 | HTTP | ID | Elite | PT Pangkalan Lintas Data
223.16.170.103:80 | HTTP | HK | Transparent | HGC Global Communications..
103.39.51.148:8080 | HTTP | ID | Transparent | PT. Mega Mentari Mandiri
103.39.51.178:8080 | HTTP | ID | Transparent | PT. Mega Mentari Mandiri
103.39.49.98:8080 | HTTP | ID | Transparent | PT. Mega Mentari Mandiri
103.39.51.207:8080 | HTTP | ID | Transparent | PT. Mega Mentari Mandiri
160.19.19.193:8080 | HTTP | ID | Transparent | PT Indo Telemedia Solusi
